surah,muqattaat_letters,letter,calculation_type,calculation_description,value,comparison_context
26,ط س م,س,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.001723084047908885,Current vs All Subsequent surahs ratio difference
26,ط س م,م,count_current,Letter count in current surah,482,Current surah with Muqatta'at
26,ط س م,م,count_previous,Letter count in previous surah,243,Previous surah (surah 25)
26,ط س م,م,count_all_previous,Letter count in all previous surahs,16289,All surahs before current (surahs 1-25)
26,ط س م,م,count_next,Letter count in next surah,396,Next surah (surah 27)
26,ط س م,م,count_all_after,Letter count in all subsequent surahs,9978,All surahs after current (surahs 27-114)
26,ط س م,م,ratio_current,Letter ratio in current surah (count/total),0.08511389722761788,Current surah with Muqatta'at
26,ط س م,م,ratio_previous,Letter ratio in previous surah (count/total),0.062116564417177916,Previous surah (surah 25)
26,ط س م,م,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.07980266123184855,All surahs before current (surahs 1-25)
26,ط س م,م,ratio_next,Letter ratio in next surah (count/total),0.08173374613003095,Next surah (surah 27)
26,ط س م,م,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.07958968795864974,All surahs after current (surahs 27-114)
26,ط س م,م,diff_vs_previous,Difference between current and previous surah ratios,0.02299733281043996,Current vs Previous surah ratio difference
26,ط س م,م,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.005311235995769326,Current vs All Previous surahs ratio difference
26,ط س م,م,diff_vs_next,Difference between current and next surah ratios,0.0033801510975869226,Current vs Next surah ratio difference
26,ط س م,م,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.005524209268968142,Current vs All Subsequent surahs ratio difference
27,ط س,ط,count_current,Letter count in current surah,28,Current surah with Muqatta'at
27,ط س,ط,count_previous,Letter count in previous surah,34,Previous surah (surah 26)
27,ط س,ط,count_all_previous,Letter count in all previous surahs,798,All surahs before current (surahs 1-26)
27,ط س,ط,count_next,Letter count in next surah,20,Next surah (surah 28)
27,ط س,ط,count_all_after,Letter count in all subsequent surahs,451,All surahs after current (surahs 28-114)
27,ط س,ط,ratio_current,Letter ratio in current surah (count/total),0.005779153766769866,Current surah with Muqatta'at
27,ط س,ط,ratio_previous,Letter ratio in previous surah (count/total),0.006003884866678439,Previous surah (surah 26)
27,ط س,ط,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.0038040032605742235,All surahs before current (surahs 1-26)
27,ط س,ط,ratio_next,Letter ratio in next surah (count/total),0.0033272334054233904,Next surah (surah 28)
27,ط س,ط,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.003742024343901164,All surahs after current (surahs 28-114)
27,ط س,ط,diff_vs_previous,Difference between current and previous surah ratios,-0.00022473109990857332,Current vs Previous surah ratio difference
27,ط س,ط,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.0019751505061956424,Current vs All Previous surahs ratio difference
27,ط س,ط,diff_vs_next,Difference between current and next surah ratios,0.0024519203613464755,Current vs Next surah ratio difference
27,ط س,ط,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.002037129422868702,Current vs All Subsequent surahs ratio difference
27,ط س,س,count_current,Letter count in current surah,94,Current surah with Muqatta'at
27,ط س,س,count_previous,Letter count in previous surah,94,Previous surah (surah 26)
27,ط س,س,count_all_previous,Letter count in all previous surahs,3719,All surahs before current (surahs 1-26)
27,ط س,س,count_next,Letter count in next surah,102,Next surah (surah 28)
27,ط س,س,count_all_after,Letter count in all subsequent surahs,2203,All surahs after current (surahs 28-114)
27,ط س,س,ratio_current,Letter ratio in current surah (count/total),0.01940144478844169,Current surah with Muqatta'at
27,ط س,س,ratio_previous,Letter ratio in previous surah (count/total),0.016598975807875685,Previous surah (surah 26)
27,ط س,س,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.017728180609117215,All surahs before current (surahs 1-26)
27,ط س,س,ratio_next,Letter ratio in next surah (count/total),0.016968890367659292,Next surah (surah 28)
27,ط س,س,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.018278668801805464,All surahs after current (surahs 28-114)
27,ط س,س,diff_vs_previous,Difference between current and previous surah ratios,0.002802468980566006,Current vs Previous surah ratio difference
27,ط س,س,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.001673264179324476,Current vs All Previous surahs ratio difference
27,ط س,س,diff_vs_next,Difference between current and next surah ratios,0.0024325544207823985,Current vs Next surah ratio difference
27,ط س,س,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.001122775986636227,Current vs All Subsequent surahs ratio difference
28,ط س م,ط,count_current,Letter count in current surah,20,Current surah with Muqatta'at
28,ط س م,ط,count_previous,Letter count in previous surah,28,Previous surah (surah 27)
28,ط س م,ط,count_all_previous,Letter count in all previous surahs,826,All surahs before current (surahs 1-27)
28,ط س م,ط,count_next,Letter count in next surah,17,Next surah (surah 29)
28,ط س م,ط,count_all_after,Letter count in all subsequent surahs,431,All surahs after current (surahs 29-114)
28,ط س م,ط,ratio_current,Letter ratio in current surah (count/total),0.0033272334054233904,Current surah with Muqatta'at
28,ط س م,ط,ratio_previous,Letter ratio in previous surah (count/total),0.005779153766769866,Previous surah (surah 27)
28,ط س م,ط,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.003848591024302967,All surahs before current (surahs 1-27)
28,ط س م,ط,ratio_next,Letter ratio in next surah (count/total),0.0038777372262773723,Next surah (surah 29)
28,ط س م,ط,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.003763797680592427,All surahs after current (surahs 29-114)
28,ط س م,ط,diff_vs_previous,Difference between current and previous surah ratios,-0.0024519203613464755,Current vs Previous surah ratio difference
28,ط س م,ط,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.0005213576188795766,Current vs All Previous surahs ratio difference
28,ط س م,ط,diff_vs_next,Difference between current and next surah ratios,-0.0005505038208539819,Current vs Next surah ratio difference
28,ط س م,ط,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.0004365642751690368,Current vs All Subsequent surahs ratio difference
28,ط س م,س,count_current,Letter count in current surah,102,Current surah with Muqatta'at
28,ط س م,س,count_previous,Letter count in previous surah,94,Previous surah (surah 27)
28,ط س م,س,count_all_previous,Letter count in all previous surahs,3813,All surahs before current (surahs 1-27)
28,ط س م,س,count_next,Letter count in next surah,70,Next surah (surah 29)
28,ط س م,س,count_all_after,Letter count in all subsequent surahs,2101,All surahs after current (surahs 29-114)
28,ط س م,س,ratio_current,Letter ratio in current surah (count/total),0.016968890367659292,Current surah with Muqatta'at
28,ط س م,س,ratio_previous,Letter ratio in previous surah (count/total),0.01940144478844169,Previous surah (surah 27)
28,ط س م,س,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.017765953481437304,All surahs before current (surahs 1-27)
28,ط س م,س,ratio_next,Letter ratio in next surah (count/total),0.015967153284671534,Next surah (surah 29)
28,ط س م,س,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.018347422104233617,All surahs after current (surahs 29-114)
